問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17683024","鳥取県市町村/岩美町","鳥取県","恩志浄水場No，1送水ポンプ消耗部品 取替工事【岩美町】","工作・産業・農業・建設用機械器具類,水処理関連施設及び工事","競争・公募","","2023-12-05","2023-12-14",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MzAyNA=="
"N17682967","独立行政法人理化学研究所","神奈川県","CO2/H2Oアナライザー","理化学機械器具類","競争・公募","A,B,C,D","2023-12-05","2023-12-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4Mjk2Nw=="
"N17682961","厚生労働省/滋賀労働局","滋賀県","大津公共職業安定所高島出張所1階事務室 OA フロア化改修工事（電話・電気・ LAN 配線工事を除く）","建築工事,内装工事","競争・公募","C,D","2023-12-05","2023-12-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4Mjk2MQ=="
"N17682933","岩手県","岩手県","【盛岡広域振興局】（事務用品類（OA関係））モノクロレーザープリンター、USB有線フルキーボード、USB有線マウス、ほか","文房具事務用品・図書,家電・カメラ・映像関連の機器・用品及び業務,事務機器及び業務,情報処理機器・ソフト及び業務","競争・公募","","2023-12-05","2023-12-07",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjkzMw=="
"N17682806","横浜市","神奈川県","消しゴム（ｆｕｎｂｏｘ）　２０セットほか　同等品可【横浜市】","文房具事務用品・図書","競争・公募","","2023-12-05","2023-12-08",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjgwNg=="
"N17682757","横浜市","神奈川県","１０１－０４　後期高齢者医療保険料ＯＣＲ督促状用封筒（水のりタイプ）　１００，０００枚ほかの印刷【横浜市】","文房具事務用品・図書,デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-08",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4Mjc1Nw=="
"N17682752","横浜市","神奈川県","０３３－０２　耐火金庫（ＥＩＫＯ）　１台　同等品可【横浜市】","家具・寝具・什器・備品等","競争・公募","","2023-12-05","2023-12-08",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4Mjc1Mg=="
"N17682750","横浜市","神奈川県","０１６－０２　ＬＥＤライトバー（Ｐａｎａｓｏｎｉｃ）　４個ほか　同等品可【横浜市】","家電・カメラ・映像関連の機器・用品及び業務,電気・電源設備及び工事","競争・公募","","2023-12-05","2023-12-08",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4Mjc1MA=="
"N17682727","横浜市","神奈川県","後期高齢者医療保険料ＯＣＲ督促状　１００，０００枚の印刷【横浜市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjcyNw=="
"N17682711","横浜市","神奈川県","ＥＱＳＵＲＶ　Ｎａｖｉｇａｔｏｒ（東芝システムテクノロジー）　１式ほか　製品指定【横浜市】","情報処理機器・ソフト及び業務","競争・公募","","2023-12-05","2023-12-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjcxMQ=="
"N17682710","横浜市","神奈川県","Ｏｒａｃｌｅ　Ｊａｖａ　ＳＥ　Ｓｕｂｓｃｒｉｐｔｉｏｎ　Ｐｒｏｃｅｓｓｏｒライセンス１２ヶ月（Ｏｒａｃｌｅ）　３０４ライセンス　製品指定【横浜市】","情報処理機器・ソフト及び業務","競争・公募","","2023-12-05","2023-12-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjcxMA=="
"N17682708","横浜市","神奈川県","ＳｏｌｉｔｏｎＳｅｃｕｒｅＤｅｓｋｔｏｐ　年間サブスクリプションライセンス（ソリトンシステムズ）　２６０ライセンスほか　製品指定【横浜市】","情報処理機器・ソフト及び業務","競争・公募","","2023-12-05","2023-12-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjcwOA=="
"N17682570","独立行政法人国立成育医療研究センター","東京都","イルミナシーケンサーNovaSeq X plus ライブラリーシークエンス（単価契約）の業務委託","理化学機械器具類","競争・公募","A,B,C,D","2023-12-05","2023-12-13",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjU3MA=="
"N17682458","北海道","北海道","標識Ｎｏ札35 白鳥大橋集中制御式可変標識更新工事","電気・電源設備及び工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1OA=="
"N17682457","北海道","北海道","標識Ｎｏ釧７ 十勝郡浦幌町緑町外道路標識設置工事","道路関連工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1Nw=="
"N17682456","北海道","北海道","信号ＮＯ札58　恵庭市大町３丁目４番外交通信号機改良その他工事","電気・電源設備及び工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1Ng=="
"N17682455","北海道","北海道","信号ＮＯ札57　伊達市元町12番地外交通信号機改良工事","電気・電源設備及び工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1NQ=="
"N17682454","北海道","北海道","信号NO旭１４　旭川市豊岡１４条７丁目４番外交通信号機改良その他工事","電気・電源設備及び工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1NA=="
"N17682453","北海道","北海道","信号NO旭１３　旭川市神楽４条３丁目外交通信号機改良工事","電気・電源設備及び工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1Mw=="
"N17682452","北海道","北海道","信号NO釧１６　釧路市新橋大通７丁目２番外交通信号機改良工事","電気・電源設備及び工事","競争・公募","","2023-12-05","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjQ1Mg=="
"N17682301","その他","全国","【米軍案件】SCANNER、 MODULE","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjMwMQ=="
"N17682300","その他","全国","【米軍案件】MOTOR、ALTERNATING C","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjMwMA=="
"N17682295","その他","全国","【米軍案件】PUMP UNIT、ROTARY","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI5NQ=="
"N17682294","その他","全国","【米軍案件】SENSOR POWER DRAWER","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI5NA=="
"N17682293","その他","全国","【米軍案件】SENSOR POWER DRAWER","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI5Mw=="
"N17682291","その他","全国","【米軍案件】DRUM、OUTER","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI5MQ=="
"N17682290","その他","全国","【米軍案件】COMPARATOR MODULE、S","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI5MA=="
"N17682288","その他","全国","【米軍案件】VOLTMETER","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI4OA=="
"N17682287","その他","全国","【米軍案件】MODULE、HPOI DWN","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI4Nw=="
"N17682285","その他","全国","【米軍案件】MOTOR CONTROL UNIT","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI4NQ=="
"N17682283","その他","全国","【米軍案件】DISPLAY、 OPTOELECTR","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI4Mw=="
"N17682282","その他","全国","【米軍案件】PROJECTOR ASSEMBLY","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI4Mg=="
"N17682280","その他","全国","【米軍案件】ACTUATOR、HYDRAULIC-","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI4MA=="
"N17682278","その他","全国","【米軍案件】SOURCES SOUGHT NOTICE USS SHIP","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI3OA=="
"N17682277","その他","全国","【米軍案件】ENGINE BLOCK ASSEMB","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI3Nw=="
"N17682273","その他","全国","【米軍案件】INDICATOR、VERTICAL","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI3Mw=="
"N17682272","その他","全国","【米軍案件】INDICATOR、TACHOMETE","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI3Mg=="
"N17682271","その他","全国","【米軍案件】INDICATOR、STICK POS","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI3MQ=="
"N17682270","その他","全国","【米軍案件】GENERATOR CONTROL U","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI3MA=="
"N17682269","その他","全国","【米軍案件】PANEL、ELECTRONICS、V","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI2OQ=="
"N17682268","その他","全国","【米軍案件】INTERFACE UNIT、COMM","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI2OA=="
"N17682267","その他","全国","【米軍案件】POWER SUPPLY","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI2Nw=="
"N17682266","その他","全国","【米軍案件】CLAMP、BLOCK","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI2Ng=="
"N17682263","その他","全国","【米軍案件】CONNECTING LINK、RIG","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI2Mw=="
"N17682258","その他","全国","【米軍案件】RESISTOR ASSEMBLY","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI1OA=="
"N17682257","その他","全国","【米軍案件】SHIPPING AND STORAG","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI1Nw=="
"N17682253","その他","全国","【米軍案件】VALVE SOLENOID","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI1Mw=="
"N17682250","その他","全国","【米軍案件】VALVE、FLOW CONTROL","米軍案件","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjI1MA=="
"N17682189","札幌市","北海道","ZKT_CC_R0047-OS　催告状(様式4)【札幌市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjE4OQ=="
"N17682188","札幌市","北海道","ZKT_CC_R0048-OS　催告状(様式5)【札幌市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjE4OA=="
"N17682187","札幌市","北海道","ZKT_CC_R1038-OL　償却資産分当初納税通知書(随時用)【札幌市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjE4Nw=="
"N17682186","札幌市","北海道","ZKT_CC_R0152-OS　償却資産分減免通知書【札幌市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjE4Ng=="
"N17682185","札幌市","北海道","ZKT_EE_R0151-OS　土地家屋分減免通知書【札幌市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjE4NQ=="
"N17682126","その他愛知県市町村/岡崎市","愛知県","ＯＡ機器（大判プリンター）【岡崎市】","事務機器及び業務","競争・公募","","2023-12-05","2023-12-13",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjEyNg=="
"N17682058","島根県市町村/松江市","島根県","特別徴収OCR用納入書の印刷【松江市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-07",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MjA1OA=="
"N17681969","茨城県","茨城県","ラズベリーパイ4 Model B他3品目の購入（園芸研究所野菜研究室）","情報処理機器・ソフト及び業務","随意","","2023-12-05","2023-12-14",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTk2OQ=="
"N17681874","秋田県","秋田県","231114894000 本庁・秋田県就活情報サイト「ＫｏｃｃｈＡｋｅ！」チラシ","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-07",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTg3NA=="
"N17681820","秋田県","秋田県","231114878200 本庁・ＯＡクリーナーほか","文房具事務用品・図書,家具・寝具・什器・備品等","競争・公募","","2023-12-05","2023-12-07",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTgyMA=="
"N17681657","岩手県","岩手県","事務用品等（事務機器類（OA機器・OA用品含む））デスクトップパソコンNECMATE、大容量トナーカートリッジ、ドラムカートリッジ、ほか","事務機器及び業務,情報処理機器・ソフト及び業務","競争・公募","","2023-12-05","2023-12-07",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTY1Nw=="
"N17681606","独立行政法人建築研究所","茨城県","19　GoPro HERO11 Black Mini 　他購入","家具・寝具・什器・備品等,家電・カメラ・映像関連の機器・用品及び業務","競争・公募","","2023-12-05","2023-12-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTYwNg=="
"N17681604","独立行政法人建築研究所","茨城県","17　RICOH THETA　購入","家電・カメラ・映像関連の機器・用品及び業務","競争・公募","","2023-12-05","2023-12-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTYwNA=="
"N17681589","独立行政法人建築研究所","茨城県","2　R5　Soliton Secure Browserサービス（更新）　購入","情報処理機器・ソフト及び業務","競争・公募","","2023-12-05","2023-12-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTU4OQ=="
"N17681568","国立大学法人/群馬大学","群馬県","Wolters Kluwer 誌電子ジャーナルの利用","文房具事務用品・図書,情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-05","2023-12-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTU2OA=="
"N17681535","東京23区/世田谷区","東京都","世田谷区環境マネジメントシステム「ＥＣＯステップせたがや」第三者評価委託【世田谷区】","調査・研究業務,その他の業務委託","競争・公募","A,B,C","2023-12-05","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTUzNQ=="
"N17681527","東京23区/世田谷区","東京都","新ＢＯＰ用冷凍冷蔵庫の購入【世田谷区】","厨房・給食機器及び業務,家電・カメラ・映像関連の機器・用品及び業務","競争・公募","A,B,C","2023-12-05","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTUyNw=="
"N17681377","海上保安庁","東京都","外85　ＣＡＲＧＯ　ＨＯＯＫ　１個特別整備","各種車両・船舶・航空機","競争・公募","A,B,C,D","2023-12-05","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTM3Nw=="
"N17681376","海上保安庁","東京都","航250　ＦＬＯＡＴ　ＢＯＴＴＬＥ　２個買入","家具・寝具・什器・備品等","競争・公募","A,B,C,D","2023-12-05","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTM3Ng=="
"N17681301","独立行政法人宇宙航空研究開発機構","東京都","低軌道物体サーベイ観測用CMOSカメラの購入","家電・カメラ・映像関連の機器・用品及び業務","競争・公募","A,B,C,D","2023-12-05","2023-12-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTMwMQ=="
"N17681198","防衛省/海上自衛隊/航空補給処","千葉県","（輸入）航空機部品（部隊整備及び定期修理用）POWER SUPPLY　ほか","家電・カメラ・映像関連の機器・用品及び業務,工作・産業・農業・建設用機械器具類,鉄鋼・非鉄・鋳鉄製品、コンクリート・セメント,電気・電源設備及び工事","競争・公募","A,B,C,D","2023-12-05","2023-12-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTE5OA=="
"N17681197","防衛省/海上自衛隊/航空補給処","千葉県","（輸入）航空機部品（部隊整備及び定期修理用）BOLT　ほか","通信機器・システム及び業務,工作・産業・農業・建設用機械器具類,各種車両・船舶・航空機,鉄鋼・非鉄・鋳鉄製品、コンクリート・セメント","競争・公募","A,B,C,D","2023-12-05","2023-12-26",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MTE5Nw=="
"N17680286","北海道","北海道","公用スマホ用手帳型ケース（MSソリューションズ）、公用スマホ用ケース（ELECOＭ）、公用スマホ用ガラスフィルム（ＥＬＥＣＯＭ）、ほか","衣料・繊維製品,家具・寝具・什器・備品等,家電・カメラ・映像関連の機器・用品及び業務,事務機器及び業務,情報処理機器・ソフト及び業務,工作・産業・農業・建設用機械器具類,警察・消防・防災関連の機器・システム及び業務,その他の物品","競争・公募","","2023-12-05","2023-12-06",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MDI4Ng=="
"N17680221","長野県市町村/青木村","長野県","【空き家バンク】No.4-10【青木村】","土地・不動産","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MDIyMQ=="
"N17680132","海上保安庁/第五管区海上保安本部","兵庫県","２０ｍ型巡視艇定検修理（２０２３ - Ｎｏ．１９）","各種車両・船舶・航空機","競争・公募","C","2023-12-05","2023-12-26",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY4MDEzMg=="
"N17679769","秋田県市町村/秋田市","秋田県","白内障手術装置〔CENTURION VISION SYSTEM〕保守委託【秋田市】","医療用機器・システム、医療・介護用品及び業務","競争・公募","","2023-12-05","2023-12-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTc2OQ=="
"N17679688","静岡県","静岡県","黄金ＫＡＩＤＯのバス旅行にバス１台につき最大7万円を支援","助成金・補助金","競争・公募","","2023-12-05","2024-02-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTY4OA=="
"N17679659","独立行政法人日本貿易振興機構","東京都","「ジェトロ食品輸出商談会」に係る事務局運営及び旅行手配（SMTS、FOODEX、佐賀、大分、鳥取）","その他の業務委託","競争・公募","A","2023-12-05","2023-12-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTY1OQ=="
"N17679562","北海道","北海道","コピー用紙、Canon　インクタンク、OKI　トナーカートリッジ（大）、ほか","衣料・繊維製品,文房具事務用品・図書,家具・寝具・什器・備品等,家電・カメラ・映像関連の機器・用品及び業務,事務機器及び業務,情報処理機器・ソフト及び業務,工作・産業・農業・建設用機械器具類,理化学機械器具類,警察・消防・防災関連の機器・システム及び業務,電気・電源設備及び工事","競争・公募","","2023-12-05","2023-12-07",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTU2Mg=="
"N17679425","国立大学法人/筑波大学","茨城県","TaqMan SNP Genotyping Array Card","理化学機械器具類,医療用機器・システム、医療・介護用品及び業務","競争・公募","","2023-12-05","2023-12-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTQyNQ=="
"N17679336","日本赤十字社/日本赤十字社大阪府支部","大阪府","日赤大阪（No.137 令和6年度版）の作製","デザイン・印刷・広告","競争・公募","A,B,C,D","2023-12-05","2023-12-25",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTMzNg=="
"N17679225","厚生労働省/国立感染症研究所","東京都","OpenShiftライセンスの購入契約","情報処理機器・ソフト及び業務","競争・公募","A,B,C","2023-12-05","2023-12-21",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTIyNQ=="
"N17679214","山形県市町村/川西町","山形県","空き家バンクの物件情報を更新しました（No.91成約）【川西町】","土地・不動産","競争・公募","","2023-12-05","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTIxNA=="
"N17679185","独立行政法人国立病院機構/近畿グループ/宇多野病院","京都府","Arthritis and Rheumatology（月刊）外23件","文房具事務用品・図書","競争・公募","A,B,C,D","2023-12-05","2023-12-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTE4NQ=="
"N17679161","独立行政法人国立病院機構","東京都","次期国立病院機構総合情報ネットワークシステム（HOSPnet）の うち統合業務支援システムに関する導入及び運用保守業務 一式","情報処理機器・ソフト及び業務","競争・公募","A","2023-12-05","2024-01-23",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTE2MQ=="
"N17679025","その他愛知県市町村/北名古屋水道企業団","愛知県","配水管布設工事No.281【北名古屋水道企業団】","空調・換気・給排水・衛生機器及び工事,土木工事,水処理関連施設及び工事","指名","","2023-12-05","2023-12-08",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3OTAyNQ=="
"N17678979","独立行政法人宇宙航空研究開発機構/筑波宇宙センター","茨城県","2024年度 小型衛星用熱解析ソフトウェア（Thermal Desktop）の保守","情報処理機器・ソフト及び業務","競争・公募","B,C,D","2023-12-05","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODk3OQ=="
"N17678974","独立行政法人宇宙航空研究開発機構/相模原キャンパス","神奈川県","ANSYS Thermal Desktopの購入","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-05","2023-12-26",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODk3NA=="
"N17678712","海上保安庁","東京都","庁166　ソフトウェア保守ライセンス（ArcGIS Desktop Standard SU)1個ほか2点買入","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-05","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODcxMg=="
"N17678711","海上保安庁","東京都","庁167ソフトウェアライセンス（一太郎Pro5）1500式買入","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-05","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODcxMQ=="
"N17678611","厚生労働省/山形労働局","山形県","米沢公共職業安定所　1階OAフロア改修工事","建築工事","競争・公募","C,D","2023-12-05","2023-12-27",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODYxMQ=="
"N17678531","その他愛知県市町村/小牧市","愛知県","Ｋｉｏｓｋ端末発券機用ロール紙（１０１０４８４１）【小牧市】","文房具事務用品・図書","競争・公募","","2023-12-05","2023-12-13",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODUzMQ=="
"N17678513","広島県","広島県","二級河川　岡ノ下川水系　岡ノ下川　特定構造物改築工事（除塵設備整備Ｎｏ１－２）","工作・産業・農業・建設用機械器具類,水処理関連施設及び工事","競争・公募","","2023-12-05","2023-12-27",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODUxMw=="
"N17678437","その他岡山県市町村/総社市","岡山県","「総社市子育て応援ＢＯＯＫ」官民協働発行事業者を公募【総社市】","デザイン・印刷・広告","競争・公募","","2023-12-05","2023-12-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzY3ODQzNw=="
